pmid,doi,year,era,journal,pubtypes,title,senior_author,country,n_countries,is_multicenter_or_registry,design_meta,group_key,tier,oa_status,oa_pdf_url,publisher
40687845,10.3389/frtra.2025.1607678,2025,post,Frontiers in transplantation,Journal Article,Antithymocyte globulin therapy in chronic lung allograft dysfunction.,Li G,United States,1,False,,li g|united states,OA,gold,https://www.frontiersin.org/journals/transplantation/articles/10.3389/frtra.2025.1607678/pdf,Frontiers Media SA
40686680,10.1016/j.eclinm.2025.103334,2025,post,EClinicalMedicine,Journal Article,Long-term outcomes of the international EXPAND trial of Organ Care System (OCS) Lung preservation for lung transplantation.,Van Raemdonck D,Belgium,3,True,,van raemdonck d|belgium,OA,gold,https://doi.org/10.1016/j.eclinm.2025.103334,Elsevier BV
40685517,10.1097/tp.0000000000005498,2025,post,Transplantation,Journal Article,Game Changer: Extracorporeal Photopheresis for the Prevention of Rejection After Lung Transplantation-A Prospective Randomized Controlled Trial.,Gelman AE,,0,False,,gelman ae|,OA,green,https://pmc.ncbi.nlm.nih.gov/articles/PMC12313277/,Ovid Technologies (Wolters Kluwer Health)
40669521,10.1016/j.jhep.2025.06.036,2025,post,Journal of hepatology,Journal Article,Molecular signatures discriminating different types of rejection in human liver transplants.,Taubert R,Germany,4,True,,taubert r|germany,OA,hybrid,https://www.journal-of-hepatology.eu/article/S0168-8278(25)02338-4/pdf,Elsevier BV
40657687,10.1111/trf.18318,2025,post,Transfusion,Journal Article; Comparative Study,One versus two: How much does it matter? A single-center retrospective study evaluating 1-day extracorporeal photopheresis schedule for treating patients with chronic lung allograft rejection.,Meloni F,Italy,1,False,,meloni f|italy,OA,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/trf.18318,Wiley
40606296,10.1016/j.jhlto.2025.100303,2025,post,JHLT open,Journal Article,It takes two: Aberrant repair and low-grade inflammation characterize bronchiolitis obliterans syndrome after lung transplantation in serum proteomic analysis.,Gan CT,Netherlands,3,True,registry,gan ct|netherlands,OA,gold,https://www.jhltopen.org/action/showPdf?pii=S2950133425000989,Elsevier BV
40605738,10.1002/phar.70040,2025,post,Pharmacotherapy,Journal Article; Comparative Study,"Comparative safety and efficacy of bisphosphonates, denosumab, and parathyroid hormone analogs for osteoporosis following lung transplantation.",Cano M,United States,1,False,,cano m|united states,Wiley,closed,,Wiley
40603432,10.1038/s41598-025-06174-8,2025,post,Scientific reports,Journal Article,Preservation of bronchial artery circulation on ex-vivo lung perfusion.,Guenthart BA,United States,1,False,,guenthart ba|united states,OA,gold,https://www.nature.com/articles/s41598-025-06174-8.pdf,Springer Science and Business Media LLC
40599904,10.1016/j.jhlto.2025.100305,2025,post,JHLT open,Journal Article,Unique association of extreme elevation of cell free DNA and histologic patterns of intra-alveolar injury among lung transplant recipients.,Anjum F,,0,False,,anjum f|,OA,gold,https://www.jhltopen.org/action/showPdf?pii=S2950133425001004,Elsevier BV
40590009,10.1097/txd.0000000000001828,2025,post,Transplantation direct,Journal Article,Sustained Molecular Allograft Injury After Episodes of Acute Rejection and Organizing Pneumonia Increases the Risk of Lung Allograft Failure.,Agbor-Enoh S,,0,True,,agbor-enoh s|,OA,gold,https://doi.org/10.1097/txd.0000000000001828,Ovid Technologies (Wolters Kluwer Health)
