pmid,doi,year,era,journal,pubtypes,title,senior_author,country,n_countries,is_multicenter_or_registry,design_meta,group_key
15982617,10.1016/j.healun.2004.05.003,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,"Journal Article; Research Support, Non-U.S. Gov't",Interleukin-17--induced interleukin-8 release in human airway smooth muscle cells: role for mitogen-activated kinases and nuclear factor-kappaB.,Verleden GM,Belgium,1,True,,verleden gm|belgium
15976371,10.1164/rccm.200411-1537oc,2005,pre,American journal of respiratory and critical care medicine,"Journal Article; Research Support, Non-U.S. Gov't",Azithromycin reverses airflow obstruction in established bronchiolitis obliterans syndrome.,Corris PA,,0,True,,corris pa|
15973175,10.1097/01.tp.0000159136.72693.35,2005,pre,Transplantation,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Risk factors and outcomes of hypogammaglobulinemia after lung transplantation.,Arcasoy SM,United States,1,False,,arcasoy sm|united states
15972366,10.1136/thx.2005.043026,2005,pre,Thorax,"Journal Article; Research Support, Non-U.S. Gov't",Phenotype of airway epithelial cells suggests epithelial to mesenchymal cell transition in clinically stable lung transplant recipients.,Corris PA,,0,False,,corris pa|
15964393,10.1016/j.transproceed.2005.03.114,2005,pre,Transplantation proceedings,Journal Article,CD4-veCD8-ve CD30+ve T cells are detectable in human lung transplant patients and their proportion of the lymphocyte population after in vitro stimulation with donor spleen cells correlates with preservation of lung physiology.,Leonard CT,United Kingdom,1,False,,leonard ct|united kingdom
15964392,10.1016/j.transproceed.2005.03.050,2005,pre,Transplantation proceedings,"Journal Article; Research Support, Non-U.S. Gov't",The frequency of interleukin-10- and interleukin-5-secreting CD4+ T cells correlates to tolerance of transplanted lung.,Meloni F,Italy,1,True,,meloni f|italy
15963771,10.1016/j.resp.2005.05.010,2005,pre,Respiratory physiology & neurobiology,Comparative Study; Journal Article,Monitoring the lung periphery of transplanted lungs.,Estenne M,Belgium,1,False,,estenne m|belgium
15943620,10.1111/j.1600-6143.2005.00925.x,2005,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Indirect recognition of MHC class I allopeptides accelerates lung allograft rejection in miniature swine.,Allan JS,United States,1,True,,allan js|united states
15942587,10.1016/j.jtcvs.2005.01.022,2005,pre,The Journal of thoracic and cardiovascular surgery,Comparative Study; Journal Article,Primary graft dysfunction and other selected complications of lung transplantation: A single-center experience of 983 patients.,Patterson GA,United States,1,False,,patterson ga|united states
15935888,10.1016/j.humimm.2004.12.008,2005,pre,Human immunology,"Journal Article; Research Support, Non-U.S. Gov't",Impact of ELISA-detected anti-HLA antibodies on pediatric cardiac allograft outcome.,Zeevi A,United States,1,True,,zeevi a|united states
15914093,10.1016/j.jcf.2005.01.003,2005,pre,Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society,Journal Article,Lung transplantation for cystic fibrosis: 6-year follow-up.,Midulla F,Italy,1,False,,midulla f|italy
15896756,10.1016/j.healun.2004.02.005,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,Journal Article,Extended ganciclovir prophylaxis in lung transplantation.,Wallwork J,United Kingdom,1,False,,wallwork j|united kingdom
15896749,10.1016/j.healun.2004.02.018,2005,pre,The Journal of heart and lung transplantation : the official publication of the International Society for Heart Transplantation,"Journal Article; Research Support, Non-U.S. Gov't",A descriptive study of small airway reticular basement membrane thickening in clinically stable lung transplant recipients.,Corris P,,0,False,,corris p|
15894603,10.1164/rccm.200501-097oc,2005,pre,American journal of respiratory and critical care medicine,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Prognostic value of bronchiolitis obliterans syndrome stage 0-p in single-lung transplant recipients.,Martinez FJ,United States,1,False,,martinez fj|united states
15888100,10.1111/j.1475-097x.2005.00609.x,2005,pre,Clinical physiology and functional imaging,"Journal Article; Research Support, Non-U.S. Gov't",Detection of chronic rejection by quantitative ventilation scintigrams in lung-transplanted patients: a pilot study.,Bake B,Sweden,1,False,,bake b|sweden
15888067,10.1111/j.1600-6143.2005.00865.x,2005,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,"Journal Article; Research Support, Non-U.S. Gov't",Broncho-alveolar lavage matrix metalloproteases as a sensitive measure of bronchiolitis obliterans.,Aharinejad S,Austria,1,False,,aharinejad s|austria
15880421,10.1002/ppul.20234,2005,pre,Pediatric pulmonology,"Journal Article; Research Support, Non-U.S. Gov't",High prevalence of gastroesophageal reflux in children after lung transplantation.,Elliott MJ,United Kingdom,1,False,,elliott mj|united kingdom
15867792,10.1016/j.jtcvs.2004.10.035,2005,pre,The Journal of thoracic and cardiovascular surgery,"Journal Article; Research Support, Non-U.S. Gov't",Bile acid aspiration and the development of bronchiolitis obliterans after lung transplantation.,Keshavjee S,Canada,1,False,,keshavjee s|canada
15866665,10.1016/j.transproceed.2005.02.026,2005,pre,Transplantation proceedings,Journal Article,Basiliximab in lung transplantation: preliminary experience.,Borro JM,Spain,1,False,,borro jm|spain
15866662,10.1016/j.transproceed.2005.02.032,2005,pre,Transplantation proceedings,Journal Article,Analysis of lung transplant recipients surviving beyond 5 years.,Salvatierra A,Spain,1,False,,salvatierra a|spain
15864347,10.1172/jci24233,2005,pre,The Journal of clinical investigation,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, P.H.S.",Role of CXCR2/CXCR2 ligands in vascular remodeling during bronchiolitis obliterans syndrome.,Strieter RM,United States,1,False,,strieter rm|united states
15863637,10.1183/09031936.05.00057004,2005,pre,The European respiratory journal,"Clinical Trial; Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",Exhaled NO may predict the decline in lung function in bronchiolitis obliterans syndrome.,Fournier M,France,1,False,,fournier m|france
15848310,10.1016/j.ejcts.2005.01.024,2005,pre,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,Journal Article,Extended donor criteria for lung transplantation--a clinical reality.,Klepetko W,Austria,1,False,,klepetko w|austria
15823457,10.1016/j.rmed.2004.09.023,2005,pre,Respiratory medicine,Journal Article,Successful steroid withdrawal in lung transplant recipients: result of a pilot study.,Kramer MR,Israel,1,True,,kramer mr|israel
15819861,10.1111/j.1469-0691.2005.01128.x,2005,pre,Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,Journal Article,Aspergillus infections in lung transplant recipients: risk factors and outcome.,,Spain,1,False,,
15816892,10.1111/j.1600-6143.2004.00803.x,2005,pre,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Journal Article,Functional status and quality of life in patients surviving 10 years after lung transplantation.,Corris PA,,0,False,,corris pa|
15814280,10.1016/j.trim.2004.11.001,2005,pre,Transplant immunology,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",The impact of pharmacogenomic factors on acute persistent rejection in adult lung transplant patients.,Burckart GJ,United States,1,False,,burckart gj|united states
15808551,10.1016/j.transproceed.2004.12.026,2005,pre,Transplantation proceedings,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Long-term acceptance of porcine pulmonary allografts without chronic rejection.,Allan JS,United States,1,True,,allan js|united states
15800973,10.1002/pmic.200401036,2005,pre,Proteomics,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, P.H.S.",Proteomic identification of human neutrophil alpha-defensins in chronic lung allograft rejection.,Wendt CH,United States,1,False,,wendt ch|united states
